,name,type,value,date
746,马恩岛,,0.0,1963
747,印度,,47776000900.0,1963
748,爱尔兰,,2430843768.0,1963
749,伊朗伊斯兰共和国,,4928628018.0,1963
750,伊拉克,,1978437693.0,1963
751,冰岛,,340061650.1,1963
752,以色列,,2992333333.0,1963
753,意大利,,57710743060.0,1963
754,牙买加,,826690466.2,1963
755,约旦,,0.0,1963
756,日本,,69498131797.0,1963
757,哈萨克斯坦,,0.0,1963
758,肯尼亚,,926589348.6,1963
759,吉尔吉斯斯坦,,0.0,1963
760,柬埔寨,,728571437.1,1963
761,基里巴斯,,0.0,1963
762,圣基茨和尼维斯,,12833226.39,1963
